Numeración;Ciudad;Empresa Solicitante;Area;Nestudios;Formación;Especialización;Maestría;Doctorado;Posgrado;Experiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Sintervalo;Idiomas;Salario;Vacantes;Sector de la vacante
235;Medellin;Empresa confidencial;Operaciones y procesos;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;1.5 a 2millones;Otro;1;1;Financiero
236;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;2 a 2.5millones;Otro;1;1;Financiero
237;Medellin;Empresa confidencial;Compras e Inventarios;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;2 a 2.5millones;Otro;1;1;Alimentos
238;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;6;1;0;0;1;1;1;11 a 15 millones;Otro;3;1;Financiero
239;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;1;0;0;0;1;1;6 a 8 millones;Otro;2;1;Asegurador
240;Cali;Empresa confidencial;Sistemas y tecnología;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;3.5 a 4 millones;Otro;2;1;Servicios
241;Bogota;Empresa confidencial;Contratos y Pagos;2;Universitaria;0;0;0;0;4;0;0;0;0;1;0;Salario a convenir;C;0;1;Servicios
242;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;1;0;0;3 a 3.5 millones;Otro;2;1;Comercio al por menor - retail
243;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Financiero
244;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;1;0;0;0;1;1;4.5 a 5.5 millones;Otro;2;1;Servicios
245;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;2 a 2.5millones;Otro;1;1;Financiero
246;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;4;1;0;0;1;0;1;6 a 8 millones;Otro;2;1;Asegurador
247;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;1;0;0;0;1;0;3.5 a 4 millones;Otro;2;1;Consultorías
248;Bogota;Empresa confidencial;Estadistica;2;Universitaria;0;0;0;0;1;1;1;0;0;0;0;3 a 3.5 millones;Otro;2;1;Financiero
249;Bogota;Ozeol;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;4 a 4.5 millones;C;2;1;Financiero
250;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1.5 a 2millones;Otro;1;1;Servicios
251;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;0;1.5 a 2millones;C;1;1;Financiero
252;Cali;Empresa confidencial;Compras e Inventarios;2;Universitaria;0;0;0;0;5;0;0;0;0;1;1;3.5 a 4 millones;Otro;2;1;Industrial
253;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;10;1;0;0;1;1;1;15 a 18 millones;Otro;3;1;Otros
254;Bucaramanga;Empresa confidencial;Mercadeo y Publicidad;2;Universitaria;0;1;0;1;1;1;0;0;1;1;1;6 a 8 millones;Otro;2;1;Consultorías
255;Bucaramanga;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1.5 a 2millones;Otro;1;1;Servicios
256;Bogota;Empresa confidencial;Mercadeo y Publicidad;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Agropecuario
257;Bogota;Empresa confidencial;Mercadeo y Publicidad;2;Universitaria;1;0;0;1;4;0;0;0;0;0;1;4.5 a 5.5 millones;Otro;2;1;Comercializadora
258;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Financiero
259;Cali;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;0;0;1;0;0;3 a 3.5 millones;Otro;2;1;Consumo masivo
260;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Servicios
261;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;1.5 a 2millones;Otro;1;1;Servicios
262;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;4 a 4.5 millones;Otro;2;1;Servicios
263;Medellin;Empresa confidencial;Calidad;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Servicios
264;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
265;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Servicios
266;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Financiero
267;Bogota;Empresa confidencial;Consultoría;2;Universitaria;1;0;0;1;8;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Financiero
268;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;0;0;1;1;5.5 a 6 millones;Otro;2;1;Servicios
269;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;1;0;0;1;Salario a convenir;Otro;0;1;Publicidad y Mercadeo
270;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;Salario a convenir;Otro;0;1;Servicios
271;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;3 a 3.5 millones;Otro;2;1;Financiero
272;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;5;1;1;0;0;1;0;11 a 15 millones;Otro;3;1;Financiero
273;Bogota;Proyecto T;Administrativa y financiera;2;Universitaria;0;0;0;0;0;1;0;0;0;1;0;Salario a convenir;Otro;0;1;Asegurador
274;Bogota;Empresa confidencial;Compras e Inventarios;2;Universitaria;0;0;0;0;4;0;0;0;0;0;1;4.5 a 5.5 millones;B;2;1;Servicios
275;Bucaramanga;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1.5 a 2millones;Otro;1;1;Salud
276;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;5;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Servicios
277;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Financiero
278;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;Salario a convenir;Otro;0;1;Consultorías
279;Bogota;Empresa confidencial;Calidad;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;2.5 a 3 millones;Otro;2;1;Financiero
280;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;1;0;0;0;2 a 2.5millones;Otro;2;1;Vehículos y partes
281;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;10;1;0;0;1;0;0;Salario a convenir;Otro;0;1;Financiero
282;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;0;1;0;0;0;0;0;Salario a convenir;B;0;1;Servicios
283;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;Salario a convenir;B;0;1;Aeronautico
284;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;0;1;0;0;0;0;0;Salario a convenir;Otro;0;1;Retail
285;Medellin;Empresa confidencial;Calidad;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
286;Bogota;Empresa confidencial;Calidad;2;Universitaria;0;0;0;0;8;1;0;0;0;1;1;8 a 10 millones;C;3;1;Servicios
287;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Servicios
288;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
289;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
290;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;1;0;0;Salario a convenir;Otro;0;1;Financiero
291;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;Salario a convenir;C;0;1;Servicios
292;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;1;0;0;0;0;1;0;Salario a convenir;Otro;0;1;Financiero
293;Medellin;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;0;1;0;0;1;0;1;Salario a convenir;C;0;1;Tecnología
294;Bogota;Empresa confidencial;Analista;2;Universitaria;1;0;0;1;6;1;0;0;0;0;1;6 a 8 millones;Otro;3;1;Financiero
295;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;2;0;0;1;0;0;0;Salario a convenir;Otro;0;1;Hidrocarburos
296;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;4;1;0;0;0;1;1;4.5 a 5.5 millones;Otro;2;1;Financiero
297;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;1;0;0;0;1;0;Salario a convenir;Otro;0;1;Servicios
298;Medellin;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;1;0;0;0;1;0;2.5 a 3 millones;Otro;2;1;Servicios
299;Bogota;Empresa confidencial;Investigación;2;Universitaria;0;0;0;0;3;1;0;0;1;1;0;5.5 a 6 millones;C;2;1;Financiero
300;Bucaramanga;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;3;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Alimentos
301;Medellin;Empresa confidencial;Calidad;2;Universitaria;0;0;0;0;4;1;0;0;1;1;1;11 a 15 millones;Otro;3;1;Financiero
302;Bogota;Empresa confidencial;Calidad;2;Universitaria;0;0;0;0;2;0;0;0;1;0;1;1.5 a 2millones;B;1;1;Tecnología
303;Medellin;Empresa confidencial;Analista;2;Universitaria;1;0;0;1;3;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Educativo
304;Bogota;Uniminuto;Docencia;2;Universitaria;0;1;0;1;3;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Educativo
305;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
306;Bogota;La Cardio;Analista;2;Universitaria;0;0;0;0;2;1;0;0;1;1;0;4.5 a 5.5 millones;Otro;2;1;Salud
307;Bogota;CAFAM;Mercadeo y Publicidad;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;3.5 a 4 millones;Otro;2;1;Servicios
308;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;8;1;0;0;0;1;1;18 a 21 millones;Otro;3;1;Consultorías
309;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Retail
310;Bogota;Empresa confidencial;Mercadeo y Publicidad;2;Universitaria;0;0;0;0;0;0;0;0;0;1;0;1 a 1.5millones;Otro;1;1;Educativo
311;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;4 a 4.5 millones;Otro;2;1;Financiero
312;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;1;0;0;1;1;1;4.5 a 5.5 millones;Otro;2;1;Financiero
313;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;4;1;0;0;1;0;1;11 a 15 millones;B;3;1;Industrial
314;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;5;1;0;0;1;0;1;8 a 10 millones;Otro;3;1;Consultorías
315;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Servicios
316;Medellin;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;3 a 3.5 millones;Otro;2;1;Tecnología
317;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;1;0;0;0;1;1;4.5 a 5.5 millones;Otro;2;1;Servicios
318;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
319;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;2.5 a 3 millones;Otro;2;1;Consultorías
320;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1.5 a 2millones;Otro;1;1;Consultorías
321;Bogota;Empresa confidencial;Mercadeo y Publicidad;2;Universitaria;1;0;0;1;3;1;0;0;1;0;1;6 a 8 millones;A;3;1;Tecnología
322;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;6;1;0;0;0;1;1;6 a 8 millones;A;3;1;Consultorías
323;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;3;0;1;0;0;1;1;6 a 8 millones;Otro;3;1;Servicios
324;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;6;1;0;0;1;1;1;11 a 15 millones;Otro;3;1;Servicios
325;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;0;0;1;1;4.5 a 5.5 millones;B;2;1;Servicios
326;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Servicios
327;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;3 a 3.5 millones;Otro;2;1;Servicios
328;Medellin;Empresa confidencial;Recursos Humanos y Admin de Personal;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;1 a 1.5millones;Otro;1;1;Servicios
329;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;4.5 a 5.5 millones;A;2;1;Financiero
330;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;2;0;0;0;1;1;1;Salario a convenir;Otro;0;1;Financiero
331;Bogota;Ecopetrol;Calidad;2;Universitaria;1;1;0;1;10;1;0;0;1;1;1;Salario a convenir;Otro;0;1;Financiero
332;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;0;0;Salario a convenir;B;0;1;Financiero
333;Bogota;SONDA;DesarrolloEmpresarial;2;Universitaria;1;0;0;1;10;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Tecnología
334;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;Salario a convenir;B;0;1;Financiero
335;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;6;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Construccion
336;Bogota;Empresa confidencial;Ingeniería;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;2 a 2.5millones;Otro;2;1;Tecnología
337;Bogota;Empresa confidencial;Recursos Humanos y Admin de Personal;2;Universitaria;0;0;0;0;6;0;0;0;0;1;1;Salario a convenir;C;0;1;Tecnología
338;Bogota;Empresa confidencial;Proyectos;2;Universitaria;0;0;0;0;4;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Inversiones 
339;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;1;0;0;1;1;1;3.5 a 4 millones;Otro;2;1;Financiero
340;Bogota;Campetrol;Analista;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Industrial
341;Bogota;Empresa confidencial;Analista;2;Universitaria;1;0;0;1;3;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Industrial
342;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Financiero
343;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Tecnología
344;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;1;0;0;1;1;1;4.5 a 5.5 millones;Otro;2;1;Financiero
345;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;Salario a convenir;B;0;1;Consultorías
346;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;1;1;0;0;1;0;1;4.5 a 5.5 millones;Otro;2;1;Financiero
347;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Telecomunicaciones
348;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;1;0;0;0;1;1;Salario a convenir;Otro;0;1;Financiero
349;Bogota;Empresa confidencial;Planeación;2;Universitaria;0;0;0;0;5;1;0;0;1;1;1;4.5 a 5.5 millones;Otro;2;1;Financiero
350;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;1;0;0;0;1;1;4.5 a 5.5 millones;Otro;2;1;Entidad Jurídica
351;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Servicios
352;Bogota;Empresa confidencial;Tecnologia;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Retail
353;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;4.5 a 5.5 millones;Otro;2;1;Financiero
354;Bogota;Empresa confidencial;Tecnologia;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;3.5 a 4 millones;Otro;2;1;Financiero
355;Bogota;Empresa confidencial;Tecnologia;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;3.5 a 4 millones;Otro;2;1;Financiero
356;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;3.5 a 4 millones;Otro;2;1;Financiero
357;Bogota;Empresa confidencial;Tecnologia;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Telecomunicaciones
358;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Tecnología
359;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;4;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Tecnología
360;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;1.5 a 2millones;Otro;1;1;Consultorías
361;Bogota;Empresa confidencial;Recursos Humanos y Admin de Personal;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Asegurador
362;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;3;0;0;1;0;1;1;Salario a convenir;Otro;0;1;Industrial
363;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;Salario a convenir;C;0;1;Aeronautico
364;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Comercio al por menor - retail
365;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;2.5 a 3 millones;Otro;2;1;Financiero
366;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;3.5 a 4 millones;Otro;2;1;Financiero
367;Bogota;Empresa confidencial;Mercadeo y Publicidad;2;Universitaria;0;0;0;0;1;0;0;0;0;1;0;1 a 1.5millones;Otro;1;1;Financiero
368;Bogota;Empresa confidencial;Mercadeo y Publicidad;2;Universitaria;0;0;0;0;1;1;0;0;0;1;1;1.5 a 2millones;Otro;1;1;Financiero
369;Bogota;Empresa confidencial;DesarrolloEmpresarial;2;Universitaria;0;0;0;0;3;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Financiero
370;Medellin;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;10;1;0;0;0;1;1;Salario a convenir;Otro;0;1;Financiero
371;Bogota;Empresa confidencial;Auditoría, Controlaría e Intervención;2;Universitaria;0;0;0;0;0;0;0;0;0;0;1;1.5 a 2millones;Otro;1;1;Financiero
372;Bogota;Empresa confidencial;Mercadeo y Publicidad;2;Universitaria;0;0;0;0;3;1;0;0;1;1;1;Salario a convenir;Otro;0;1;Servicios
373;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;Salario a convenir;C;0;1;Financiero
374;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;8;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Industrial
375;Bogota;Empresa confidencial;Ambiental;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;3 a 3.5 millones;B;2;1;Financiero
376;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;0;1;0;0;1;1;0;Salario a convenir;C;0;1;Financiero
377;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
378;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;0;1;0;0;1;1;0;Salario a convenir;Otro;0;1;Alimentos
379;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;4;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Comercio Electrónico
380;Bogota;Empresa confidencial;DesarrolloEmpresarial;2;Universitaria;0;1;0;1;3;0;0;0;1;1;0;Salario a convenir;B;0;1;Comercio al por menor - retail
381;Bogota;Empresa confidencial;Consultoría;2;Universitaria;0;0;0;0;5;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Servicios
382;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;0;1;0;0;1;1;1;Salario a convenir;Otro;0;1;Financiero
383;Bogota;Empresa confidencial;Auditoría, Controlaría e Intervención;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Financiero
384;Bogota;Empresa confidencial;Analista;2;Universitaria;1;0;0;1;5;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Industrial
385;Bucaramanga;Empresa confidencial;Proyectos;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Educativo
386;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;1;0;0;1;1;1;6 a 8 millones;Otro;3;1;Financiero
387;Cali;Empresa confidencial;DesarrolloEmpresarial;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;2 a 2.5millones;Otro;2;1;Servicios
388;Bogota;Empresa confidencial;Proyectos;2;Universitaria;1;0;0;1;4;0;0;0;0;0;1;8 a 10 millones;Otro;3;1;Educativo
389;Bogota;Ecopetrol;Mercadeo y Publicidad;2;Universitaria;0;0;0;0;6;1;0;0;0;1;1;8 a 10 millones;C;3;1;Industrial
390;Bucaramanga;Dirección Territorial Centro Oriente Sistemas;Administrativa y financiera;2;Universitaria;0;0;0;0;2;1;0;0;0;0;1;4 a 4.5 millones;Otro;2;1;Servicios
391;Bucaramanga;Empresa confidencial;Docencia;2;Universitaria;0;0;1;1;4;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Educativo
392;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Financiero
393;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Consultorías
394;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;3;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Educativo
395;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;4;0;0;1;0;0;1;2.5 a 3 millones;Otro;2;1;Alimentos
396;Cali;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;3.5 a 4 millones;B;2;1;Consultorías
397;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Servicios
398;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;2 a 2.5millones;Otro;2;1;Construccion
399;Bogota;Empresa confidencial;Tecnologia;2;Universitaria;0;0;0;0;5;1;0;0;0;1;1;5.5 a 6 millones;Otro;2;1;Tecnología
400;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;0;1;0;1;5.5 a 6 millones;Otro;2;1;Financiero
401;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;2.5 a 3 millones;Otro;2;1;Financiero
402;Medellin;Lilipink;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Textiles
403;Bogota;Unisono;Calidad;2;Universitaria;0;0;0;0;3;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Telecomunicaciones
404;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;3 a 3.5 millones;Otro;2;1;Financiero
405;Bucaramanga;Empresa confidencial;Administrativa y financiera;1;Bachillerato;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Alimentos
406;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;3;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Comercializadora
407;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;2 a 2.5millones;Otro;2;1;Financiero
408;Medellin;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;4.5 a 5.5 millones;Otro;2;1;Construccion
409;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
410;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;4;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Salud
411;Bucaramanga;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;1 a 1.5millones;Otro;1;1;Financiero
