Numeración;Ciudad;Empresa Solicitante;Area;Nestudios;Formación;Especialización;Maestría;Doctorado;Posgrado;Experiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Sintervalo;Idiomas;Salario;Vacantes;Sector de la vacante
120;Bogota;Multiempleos;Comercial, Ventas y Telemercadeo;2;Universitaria;1;0;0;1;1;0;1;0;0;0;1;3 a 3.5 millones;Otro;2;1;Consultorías
121;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;4.5 a 5.5 millones;Otro;2;1;Transporte
122;Bogota;SELIGO SAS;Servicio al cliente;2;Universitaria;0;0;0;0;3;0;0;0;0;0;0;2 a 2.5millones;Otro;1;1;Consultorías
123;Bogota;SELIGO SAS;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;0;0;2.5 a 3 millones;Otro;1;1;Consultorías
124;Bogota;Multiempleos;Administrativa y financiera;3;Especialización;1;0;0;1;3;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Consultorías
125;Bogota;Nae;Sistemas y tecnología;2;Universitaria;0;0;0;0;1;1;0;0;1;1;0;Salario a convenir;Otro;0;1;Telecomunicaciones
126;Medellin;Servicio de empleo confama;Administrativa y financiera;2;Universitaria;0;0;0;0;2;1;0;0;0;1;0;3.5 a 4 millones;Otro;2;1;Servicios
127;Medellin;Servicio de empleo confama;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;0;Salario a convenir;Otro;0;1;Servicios
128;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;2 a 2.5millones;Otro;1;1;Consultorías
129;Bogota;HITSS;Sistemas y tecnología;2;Universitaria;0;0;0;0;3;1;0;0;1;0;0;Salario a convenir;Otro;0;1;Tecnología
130;Bogota;Levapan;Administrativa y financiera;3;Especialización;1;0;0;1;5;1;0;1;1;1;1;6 a 8 millones;Otro;2;1;Alimentos
131;Bogota;Ernst & Young;Administrativa y financiera;2;Universitaria;0;0;0;0;1;1;1;0;1;1;0;Salario a convenir;Otro;0;1;Consultorías
132;Medellin;Servicio de empleo confama;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;3.5 a 4 millones;Otro;2;1;Servicios
133;Medellin;Servicio de empleo confama;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;Salario a convenir;Otro;0;1;Servicios
134;Bogota;Nae;Sistemas y tecnología;2;Universitaria;0;0;0;0;2;1;1;0;0;1;0;4 a 4.5 millones;Otro;2;1;Telecomunicaciones
135;Bogota;Empresa confidencial;Recursos Humanos y Admin de Personal;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;3.5 a 4 millones;Otro;2;1;Servicios
136;Bogota;Empresa confidencial;Mantenimiento;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;3.5 a 4 millones;Otro;2;1;Energético
137;Cali;Uniminuto;Calidad;1;Media;0;0;0;0;0;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Educativo
138;Cali;Omnilife Manufactura de Colombia LTDA;Compras e Inventarios;2;Universitaria;0;0;0;0;4;0;1;0;0;0;1;6 a 8 millones;Otro;2;1;Químicos
139;Cali;Eficacia;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;1;0;0;0;3 a 3.5 millones;Otro;2;1;Consultorías
140;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;1;1;0;3 a 3.5 millones;Otro;2;1;Agropecuario
141;Bogota;Perform SAS;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;2.5 a 3 millones;Otro;1;1;Servicios
142;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;1.5 a 2millones;Otro;1;1;Educativo
143;Bogota;Empresa confidencial;Salud;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;3.5 a 4 millones;Otro;2;1;Asegurador
144;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;2.5 a 3 millones;Otro;1;1;Salud
145;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;4;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Servicios
146;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;5;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Transporte
147;Bucaramanga;Cámara de Comercio de Bga;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;0;0;1;1;11 a 15 millones;B;3;1;Estatal y relacionados
148;Bogota;Claro;Administrativa y financiera;2;Universitaria;0;0;0;0;3;1;0;0;1;0;0;Salario a convenir;Otro;0;1;Telecomunicaciones
149;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Transporte
150;Bucaramanga;Empresa confidencial;Consultoría;2;Universitaria;1;0;0;1;2;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Construccion
151;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;1 a 1.5millones;Otro;1;1;Transporte
152;Cali;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;0;0;0;0;0;3 a 3.5 millones;Otro;2;1;Turismo
153;Cali;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Salud
154;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1.5 a 2millones;Otro;1;1;Consultorías
155;Bucaramanga;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Financiero
