Item;Ciudad;Area;Nestudios;Estudios;Espec;Maestria;Doctorado;Posgrado;Experiencia;Aexperiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Ingles;Pingles;Sintervalos;Salario;Vacantes;Sector de la vacante
621;Cali;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;1;0;Otro;No;Otro;0;1;
622;Cali;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;8;4;0;0;0;0;0;1;Otro;No;Otro;0;1;
623;Cali;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;4;2;0;0;0;0;0;1;Otro;No;$4,5 a $5,5 millones;2;1;
624;Cali;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;$1,5 a $2 millones;1;1;
625;Cali;Administrativa, Auditoria,  Financiera, Gerencia;1;Técnica;0;0;0;0;1;1;0;0;0;0;1;1;Otro;No;$1 a $1,5 millones;1;1;
626;Cali;Comercial, ventas y servicio al cliente;1;Técnica;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;$1 a $1,5 millones;1;1;
627;Cali;Comercial, ventas y servicio al cliente;1;Técnica;0;0;0;0;1;1;0;0;0;0;1;1;Otro;No;$1,5 a $2 millones;1;1;
628;Cali;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;1;Otro;No;$1,5 a $2 millones;1;1;
629;Cali;Docencia e I+D;3;Maestría;0;0;0;0;6;3;1;0;0;0;0;1;Otro;No;$5,5 a $6 millones;3;1;
630;Cali;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;0;Otro;No;$1,5 a $2 millones;1;1;
631;Cali;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;$1,5 a $2 millones;1;1;
