Item;Ciudad;Area;Nestudios;Estudios;Espec;Maestria;Doctorado;Posgrado;Experiencia;Aexperiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Ingles;Pingles;Sintervalos;Salario;Vacantes;Sector de la vacante
749;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;1;Técnica;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;Otro;0;1;
750;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;No;$2,5 a $3 millones;2;1;
751;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;$3 a $3,5 millones;2;1;
752;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
753;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
754;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
755;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
756;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
757;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;1;1;Otro;No;Otro;0;1;
758;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;0;Otro;No;Otro;0;1;
759;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
760;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
761;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
762;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
763;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;1;Otro;No;Otro;0;1;
764;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
765;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;1;1;Otro;No;Otro;0;1;
766;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;Otro;0;1;
767;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;A1;Si;Otro;0;1;
768;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
769;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
770;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
771;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
772;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
773;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
774;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
775;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
776;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
777;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
778;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
779;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;1;1;Otro;No;Otro;0;1;
780;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
781;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
782;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
783;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
784;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
785;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
786;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
787;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
788;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
789;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
790;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
791;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
792;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
793;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
794;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
795;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
796;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
797;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
798;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
799;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
800;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
801;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;Otro;0;1;
802;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
803;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
804;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
805;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;Otro;0;1;
806;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
807;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
808;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
809;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;Otro;0;1;
810;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;Otro;0;1;
811;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
812;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
813;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
814;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
815;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
816;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
817;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
818;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
819;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;Otro;0;1;
820;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
821;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
822;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
823;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
824;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
825;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;Otro;0;1;
826;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
827;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
828;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
829;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;Otro;0;1;
830;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
831;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;0;Otro;No;Otro;0;1;
832;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
833;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;Si;Otro;0;1;
834;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
835;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
836;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
837;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
838;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
839;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
840;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
841;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
842;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
843;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
844;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
845;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
846;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
847;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
848;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
849;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
850;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
851;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
852;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
853;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
854;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
855;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;Otro;0;1;
856;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;Otro;Otro;0;1;0;0;0;1;Otro;No;Otro;0;1;
857;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
858;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;No;Otro;0;1;
859;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
860;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
861;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
862;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
863;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;A1;Si;Otro;0;1;
864;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
865;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
866;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
867;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;3;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
868;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;No;Otro;0;1;
869;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
870;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;No;Otro;0;1;
871;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
872;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
873;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
874;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
875;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
876;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
877;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
878;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;Si;Otro;0;1;
879;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;1;A1;Si;Otro;0;1;
880;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;Si;Otro;0;1;
881;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;Si;Otro;0;1;
882;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;0;A1;Si;Otro;0;1;
883;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
884;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
885;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
886;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
887;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
888;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;A1;Si;Otro;0;1;
889;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
890;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;Si;Otro;0;1;
891;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
892;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;1;A1;Si;Otro;0;1;
893;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
894;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
895;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
896;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;A1;Si;Otro;0;1;
897;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;Si;Otro;0;1;
898;Bucaramanga;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;Si;Otro;0;1;
899;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
900;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
901;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
902;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
903;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;Otro;0;1;
904;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;A1;Si;Otro;0;1;
905;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
906;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
907;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
908;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
909;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;A1;Si;Otro;0;1;
910;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
911;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
912;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
913;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;No;Otro;0;1;
914;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
915;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
916;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
917;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;A1;Si;Otro;0;1;
918;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
919;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
920;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;No;Otro;0;1;
921;Bucaramanga;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;Otro;0;1;
