Item;Ciudad;Contratante;Area;Nestudios;Estudios;Espec;Maestria;Doctorado;Posgrado;Experiencia;Aexperiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Ing;IngF;Idiomas;Pingles;Sintervalos;SalarioN;Salario;Vacantes;Sector de la vacante
723;Medellin;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;1;Otro;0;Otro;No;$1 a $1,5 millones;1250000;1;1;
724;Medellin;;Administrativa, Auditoria,  Financiera, Gerencia;1;Técnica;0;0;0;0;1;1;0;0;0;0;0;1;Otro;0;Otro;No;$1,5 a $2 millones;1750000;1;1;
725;Medellin;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;1;
726;Medellin;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;1;0;0;1;0;1;B2;0;B;Si;$3 a $3,5 millones;3250000;2;1;
727;Medellin;;Comercial, ventas y servicio al cliente;1;Técnica;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;$1 a $1,5 millones;1250000;1;1;
728;Medellin;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;1;
729;Medellin;;otros;3;Especialización;1;0;0;1;5;3;0;0;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;1;
730;Medellin;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;0;1;0;1;3;2;0;0;0;0;1;1;C1;0;C;Si;Otro;870000;0;1;
731;Medellin;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;1;Otro;0;Otro;No;$1 a $1,5 millones;1250000;1;1;
732;Medellin;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;1;
733;Medellin;;Administrativa, Auditoria,  Financiera, Gerencia;1;Técnica;0;0;0;0;0;1;0;0;0;0;0;1;Otro;0;Otro;No;$1 a $1,5 millones;1250000;1;1;
734;Medellin;;Comercial, ventas y servicio al cliente;1;Técnica;0;0;0;0;1;1;0;0;0;0;1;1;Otro;0;Otro;No;$1 a $1,5 millones;1250000;1;1;
735;Medellin;;Docencia e I+D;3;Doctorado;0;0;1;1;5;3;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;1;
736;Medellin;;Administrativa, Auditoria,  Financiera, Gerencia;3;Maestría;0;1;0;1;1;1;0;0;0;0;0;1;Otro;0;Otro;No;$2,5 a $3 millones;2750000;2;1;
737;Medellin;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;1;1;Otro;0;Otro;No;$2,5 a $3 millones;2750000;2;1;
738;Medellin;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;4;2;0;0;0;0;0;1;Otro;0;Otro;No;$3,5 a $4 millones;3750000;2;1;
739;Medellin;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización ;0;0;0;1;3;2;0;0;0;0;0;1;Otro;0;Otro;No;$10 a $12,5 millones;11250000;3;1;
740;Medellin;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización ;0;1;0;1;3;2;0;0;0;0;1;1;C1;0;C;Si;Otro;870000;0;1;
741;Medellin;;Docencia e I+D;3;Especialización;1;0;0;1;5;3;0;0;0;0;0;1;Otro;0;Otro;No;$5,5 a $6 millones;5750000;3;1;
742;Medellin;;Operaciones y Procesos;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;1;
743;Medellin;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;1;0;1;4;2;0;0;0;0;0;1;C1;0;C;Si;$4,5 a $5,5 millones;5000000;2;1;
744;Medellin;;Comercial, ventas y servicio al cliente;2;Universitaria;1;0;0;1;2;2;0;0;0;0;0;1;Otro;0;Otro;No;$3 a $3,5 millones;3250000;2;1;
745;Medellin;;Docencia e I+D;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;1;Otro;0;Otro;No;$5,5 a $6 millones;5750000;3;1;
