Item;Ciudad;Contratante;Area;Nestudios;Estudios;Espec;Maestria;Doctorado;Posgrado;Experiencia;Aexperiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Ing;IngF;Idiomas;Pingles;Sintervalos;SalarioN;Salario;Vacantes;Sector de la vacante
835;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
836;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
837;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
838;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
839;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
840;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
841;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
842;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
843;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
844;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
845;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
846;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
847;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
848;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
849;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
850;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
851;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
852;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
853;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
854;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
855;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
856;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;Otro;Otro;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
857;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
858;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
859;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
860;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
861;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
862;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
863;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
864;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
865;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
866;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
867;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;3;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
868;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
869;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
870;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
871;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
872;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
873;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
874;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
875;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
876;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
877;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
878;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
879;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
880;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
881;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
882;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
883;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
884;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
885;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
886;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
887;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
888;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
889;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
890;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
891;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
892;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
893;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
894;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
895;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
896;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
897;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
898;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
899;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
900;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
901;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
902;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
903;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
904;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
905;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
906;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
907;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
908;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
909;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
910;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
911;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
912;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
913;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
914;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
915;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
916;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
917;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
918;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
919;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
920;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
921;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
922;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
923;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
924;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
925;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
926;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
927;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
928;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
929;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
930;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
931;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
932;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
933;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
934;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
935;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
936;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
937;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
938;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
939;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
940;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
941;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
942;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
943;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
944;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
945;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
946;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
947;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
948;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
949;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
950;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
951;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
952;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
953;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
954;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
955;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
956;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
957;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
958;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
959;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
960;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
961;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
962;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
963;Bucaramanga;;Comercial, ventas y servicio al cliente;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
964;Bucaramanga;;Comercial, ventas y servicio al cliente;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
965;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
966;Bucaramanga;;Comercial, ventas y servicio al cliente;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
967;Bucaramanga;;Comercial, ventas y servicio al cliente;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
968;Bucaramanga;;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
969;Bucaramanga;;Comercial, ventas y servicio al cliente;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
970;Bucaramanga;;otros;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
971;Bucaramanga;;otros;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
972;Bucaramanga;;otros;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
973;Bucaramanga;;otros;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
974;Bucaramanga;;otros;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
975;Bucaramanga;;otros;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
976;Bucaramanga;;otros;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
977;Bucaramanga;;otros;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
978;Bucaramanga;;otros;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
979;Bucaramanga;;otros;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
980;Bucaramanga;;otros;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
981;Bucaramanga;;otros;2;Universitaria;0;0;0;0;5;3;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
982;Bucaramanga;;otros;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
983;Bucaramanga;;otros;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
984;Bucaramanga;;otros;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
985;Bucaramanga;;otros;2;Universitaria;0;0;0;0;4;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
986;Bucaramanga;;otros;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
987;Bucaramanga;;otros;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
988;Bucaramanga;;otros;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
989;Bucaramanga;;Docencia e I+D;3;Especialización;1;0;0;1;1;1;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
990;Bucaramanga;;Docencia e I+D;3;Especialización;1;0;0;1;Otro;Otro;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
991;Bucaramanga;;Docencia e I+D;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
992;Bucaramanga;;Docencia e I+D;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
993;Bucaramanga;;Docencia e I+D;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
994;Bucaramanga;;Docencia e I+D;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
995;Bucaramanga;;Docencia e I+D;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
996;Bucaramanga;;Docencia e I+D;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
997;Bucaramanga;;Docencia e I+D;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
998;Bucaramanga;;Docencia e I+D;3;Especialización;1;0;0;1;4;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
999;Bucaramanga;;Docencia e I+D;3;Especialización;1;0;0;1;3;2;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
1000;Bucaramanga;;Docencia e I+D;3;Especialización;1;0;0;1;3;2;0;1;0;0;0;0;A1;0;A;Si;Otro;870000;0;;
1001;Bucaramanga;;Docencia e I+D;3;Especialización;1;0;0;1;Otro;Otro;0;1;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
